datetime,symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
2026-03-12 15:45:00,BTCUSDT,83290.42900000,5858732257.01242200,20000978.00000000,1773330300000
2026-03-12 15:50:00,BTCUSDT,83298.90700000,5859272856.79108200,20000978.00000000,1773330600000
2026-03-12 15:55:00,BTCUSDT,83292.08300000,5858154988.62283100,20000978.00000000,1773330900000
2026-03-12 16:00:00,BTCUSDT,83394.98800000,5861727177.88325100,20000978.00000000,1773331200000
2026-03-12 16:05:00,BTCUSDT,83455.80700000,5873861718.50030000,20000978.00000000,1773331500000
2026-03-12 16:10:00,BTCUSDT,83420.77800000,5832905928.92700000,20000978.00000000,1773331800000
2026-03-12 16:15:00,BTCUSDT,83439.98600000,5848477393.04165800,20000978.00000000,1773332100000
2026-03-12 16:20:00,BTCUSDT,83590.77100000,5871842067.97210000,20000978.00000000,1773332400000
2026-03-12 16:25:00,BTCUSDT,83854.90700000,5890681434.38950000,20000978.00000000,1773332700000
2026-03-12 16:30:00,BTCUSDT,83870.87800000,5871822006.01573100,20000978.00000000,1773333000000
2026-03-12 16:35:00,BTCUSDT,83849.77100000,5888820099.65579800,20000978.00000000,1773333300000
2026-03-12 16:40:00,BTCUSDT,83883.36500000,5903984916.72828000,20000978.00000000,1773333600000
2026-03-12 16:45:00,BTCUSDT,84037.26000000,5911281713.11200000,20000978.00000000,1773333900000
2026-03-12 16:50:00,BTCUSDT,84073.97900000,5925172521.81030000,20000978.00000000,1773334200000
2026-03-12 16:55:00,BTCUSDT,84206.69800000,5930757981.19092300,20000978.00000000,1773334500000
2026-03-12 17:00:00,BTCUSDT,84271.71400000,5927348839.37569200,20000978.00000000,1773334800000
2026-03-12 17:05:00,BTCUSDT,84254.83400000,5933343367.04760000,20000978.00000000,1773335100000
2026-03-12 17:10:00,BTCUSDT,84329.80500000,5931952442.25150000,20000978.00000000,1773335400000
2026-03-12 17:15:00,BTCUSDT,84358.28600000,5937760419.99640000,20000978.00000000,1773335700000
2026-03-12 17:20:00,BTCUSDT,84298.77600000,5917960716.96569800,20000978.00000000,1773336000000
2026-03-12 17:25:00,BTCUSDT,84267.48600000,5930595203.63097600,20000978.00000000,1773336300000
2026-03-12 17:30:00,BTCUSDT,84349.87000000,5926207075.97957300,20000978.00000000,1773336600000
2026-03-12 17:35:00,BTCUSDT,84339.53700000,5926665774.29550000,20000978.00000000,1773336900000
2026-03-12 17:40:00,BTCUSDT,84292.84300000,5929504177.27630000,20000978.00000000,1773337200000
2026-03-12 17:45:00,BTCUSDT,84318.16500000,5929961635.38600000,20000978.00000000,1773337500000
2026-03-12 17:50:00,BTCUSDT,84245.16600000,5920491345.06670400,20000978.00000000,1773337800000
2026-03-12 17:55:00,BTCUSDT,84258.37500000,5916754376.81716600,20000978.00000000,1773338100000
2026-03-12 18:00:00,BTCUSDT,84132.77900000,5903361530.64880000,20000978.00000000,1773338400000
2026-03-12 18:05:00,BTCUSDT,84114.76200000,5896185366.65509800,20000978.00000000,1773338700000
2026-03-12 18:10:00,BTCUSDT,84111.76800000,5905630221.28560000,20000978.00000000,1773339000000
2026-03-12 18:15:00,BTCUSDT,84115.24800000,5901250726.97088600,20000978.00000000,1773339300000
2026-03-12 18:20:00,BTCUSDT,84143.01000000,5897441158.24553800,20000978.00000000,1773339600000
2026-03-12 18:25:00,BTCUSDT,83921.16300000,5872095620.03806200,20000978.00000000,1773339900000
2026-03-12 18:30:00,BTCUSDT,83890.27800000,5870641654.44000000,20000978.00000000,1773340200000
2026-03-12 18:35:00,BTCUSDT,83889.30800000,5863425836.41813850,20000978.00000000,1773340500000
2026-03-12 18:40:00,BTCUSDT,83785.52500000,5862622169.86162600,20000978.00000000,1773340800000
2026-03-12 18:45:00,BTCUSDT,83773.01800000,5855038042.38437900,20000978.00000000,1773341100000
2026-03-12 18:50:00,BTCUSDT,83714.15000000,5843357359.19495600,20000978.00000000,1773341400000
2026-03-12 18:55:00,BTCUSDT,83766.77700000,5853128311.81111400,20000978.00000000,1773341700000
2026-03-12 19:00:00,BTCUSDT,83778.04200000,5846115548.80200000,20000978.00000000,1773342000000
2026-03-12 19:05:00,BTCUSDT,83773.77800000,5851711612.24236800,20000978.00000000,1773342300000
2026-03-12 19:10:00,BTCUSDT,83794.16300000,5855477454.52590000,20000978.00000000,1773342600000
2026-03-12 19:15:00,BTCUSDT,83771.46000000,5855294606.54971900,20000978.00000000,1773342900000
2026-03-12 19:20:00,BTCUSDT,83621.60200000,5857158167.27960300,20000978.00000000,1773343200000
2026-03-12 19:25:00,BTCUSDT,83546.71500000,5851977152.14615100,20000978.00000000,1773343500000
2026-03-12 19:30:00,BTCUSDT,83497.26200000,5858234699.72960000,20000978.00000000,1773343800000
2026-03-12 19:35:00,BTCUSDT,83496.25800000,5869027121.45220000,20000978.00000000,1773344100000
2026-03-12 19:40:00,BTCUSDT,83519.61100000,5869632981.66350000,20000978.00000000,1773344400000
2026-03-12 19:45:00,BTCUSDT,83552.83500000,5871007907.50534100,20000978.00000000,1773344700000
2026-03-12 19:50:00,BTCUSDT,83677.50900000,5892812848.55610000,20000978.00000000,1773345000000
2026-03-12 19:55:00,BTCUSDT,83771.82200000,5897594909.07540000,20000978.00000000,1773345300000
2026-03-12 20:00:00,BTCUSDT,83873.96300000,5905057276.27977300,20000978.00000000,1773345600000
2026-03-12 20:05:00,BTCUSDT,83902.77600000,5910338212.08554900,20000978.00000000,1773345900000
2026-03-12 20:10:00,BTCUSDT,83922.89400000,5909673957.40260000,20000978.00000000,1773346200000
2026-03-12 20:15:00,BTCUSDT,83899.73100000,5902558461.33137900,20000978.00000000,1773346500000
2026-03-12 20:20:00,BTCUSDT,83924.55600000,5897502946.38087100,20000978.00000000,1773346800000
